Area,Eccentricity,circularity,extent,class
44934,0.9912219323,0.2602665592,0.6793359942,bt
3983,0.9911765346,0.2577268655,0.7126498479,bt
150029,0.9841802996,0.2588210438,0.2850008358,bt
5881,0.9895275518,0.2749321361,0.2872984856,bt
8048,0.9841962011,0.3324151515,0.2303113553,bt
3876,0.9912054674,0.259196692,0.7453846154,bt
14197,0.968857239,0.3362154624,0.3455519046,bt
22208,0.9912615351,0.2464673094,0.6995526996,bt
4238,0.9899301654,0.2871293198,0.7306896552,bt
5861,0.9908927134,0.2363760533,0.7249226964,bt
5167,0.9918712517,0.240135668,0.7153537311,bt
8849,0.989036952,0.2869091657,0.1941336492,bt
11682,0.9911931289,0.2519879561,0.7255900621,bt
7799,0.9849254393,0.3139060756,0.2164224664,bt
99777,0.9939291337,0.2193234908,0.3099338365,bt
926301,0.9907584347,0.2406890195,0.1656123188,bt
5280,0.986432591,0.3101229649,0.2178577323,bt
12968,0.9897863745,0.2783271969,0.750462963,bt
6901,0.9905731422,0.2578032382,0.1975778745,bt
8078,0.9892150432,0.2694667777,0.1831746032,bt
9134,0.9850559063,0.3139838353,0.2552537447,bt
278903,0.9870728173,0.3193692262,0.6720959094,bt
13539,0.9750147688,0.3837850009,0.2759907045,bt
13500,0.97,0.38,0.27,bt
38343,0.9910816677,0.2370268899,0.7454651502,bt
4731,0.9910788281,0.262609411,0.7415360502,bt
4700,0.9920065825,0.2654278612,0.7841174508,bt
6658,0.9912452553,0.2445034447,0.1639820698,bt
8327,0.9855534632,0.3027530684,0.2150123941,bt
10,0.7162849524,1.208551121,0.625,ft
34414,0.9968449499,0.03960840846,0.03838046783,ft
192,0.9566340688,0.148475309,0.6018808777,ft
1301,0.9973869901,0.03811454685,0.0309584999,ft
2363,0.9936034798,0.0672901689,0.05834567901,ft
2363,0.99,0.068,0.04,ft
3972,0.9850373027,0.08391312134,0.08440647711,ft
3945,0.99,0.085,0.085547,ft
3977,0.9919357397,0.04983512313,0.1232414007,ft
6834,0.9971423179,0.05763469865,0.1964357574,ft
5131,0.9942971824,0.1089010032,0.08835583414,ft
8,0.6448031202,1.703092297,0.6666666667,ft
1993,0.9976859509,0.0520898667,0.1623757536,ft
741,0.9989762054,0.03648391105,0.03062996032,ft
1407,0.9970072453,0.0401931518,0.03101304885,ft
1370,0.9975629979,0.0460441479,0.03579640468,ft
2267,0.9980390433,0.0648477742,0.05831661265,ft
1710,0.9970414439,0.05302585923,0.04335150209,ft
962,0.9991506689,0.02669672965,0.01917289487,ft
1756,0.9976146013,0.05408531314,0.06408759124,ft
2037,0.9961429676,0.06898939563,0.04848960937,it
3700,0.9866947496,0.1126223975,0.08295964126,it
4751,0.9844477011,0.1294876898,0.09728279788,it
5666,0.9823030329,0.144661539,0.114008612,it
41365,0.9875528233,0.09849381963,0.07864457178,it
3417,0.9936332262,0.1209946331,0.08448928121,it
12815,0.9961512631,0.0626328917,0.1599016758,it
1326,0.9966420955,0.07308136261,0.1754664549,it
1696,0.9958880878,0.07027703743,0.04901734104,it
2064,0.9958287458,0.06600713927,0.1606475716,it
4362,0.9877320685,0.1196215114,0.08931203931,it
1561,0.9973767421,0.06489711847,0.05155728771,it
2871,0.9957793113,0.08038934053,0.05702425169,it
3368,0.9869642453,0.1100222723,0.0818031672,it
13367,0.98547,0.11158,0.08754,it
2827,0.9926708268,0.0784246574,0.05842840608,it
4584,0.9863604852,0.1237381819,0.09150613834,it
4586,0.905895575,0.4414793509,0.4995642702,lt
7454,0.9021567874,0.4349560399,0.3429333824,lt
10382,0.8888915536,0.4775137574,0.50742913,lt
16523,0.9054186916,0.4158194411,0.3307775464,lt
99866,0.9055742089,0.3537389616,0.4935310106,lt
22954,0.9115921556,0.4521430507,0.4994125582,lt
23888,0.9055899552,0.4547725367,0.500293206,lt
11686,0.853114376,0.513618618,0.5160748984,lt
111686,0.86457,0.5468,0.5684,lt
11924,0.9268423157,0.3636386337,0.3939604189,lt
15382,0.9193532859,0.4549021651,0.3343331595,lt
9575,0.9241834066,0.4926792318,0.3876204356,lt
16803,0.9032484337,0.455515058,0.3334325515,lt
12211,0.871914634,0.5107013574,0.5256564787,lt
17782,0.9054206758,0.4439305698,0.4025353707,lt
8101,0.9491267758,0.4104070526,0.5471060985,lt
8764,0.9272863266,0.4115576079,0.4708031158,lt
20691,0.9031894961,0.4635445648,0.5043878894,lt
12318,0.9198636304,0.4938685299,0.3803025625,lt
644237,0.8046505383,0.6061907989,0.5851035134,tt
2129616,0.9064035075,0.5186986914,0.612135929,tt
545178,0.8555608949,0.5912909541,0.5899562709,tt
15752,0.8726085548,0.5337292028,0.5368047983,tt
13274,0.8973507367,0.5664010433,0.5825762563,tt
15071,0.8416045713,0.6165261477,0.556947524,tt
12292,0.8912545121,0.5197036553,0.4212907427,tt
17697,0.905779476,0.49536601,0.5321125744,tt
25110,0.8079254478,0.5756350363,0.5228635682,tt
16553,0.7616877391,0.581678161,0.5859261619,tt
11688,0.7288568211,0.7008713941,0.6328784925,tt
21793,0.8063521367,0.5923861048,0.5704525823,tt
23563,0.9034925388,0.544411133,0.6163967876,tt
14742,0.2879387137,0.9561833523,0.8528288789,tt
23216,0.8606140519,0.5721431945,0.6095678202,tt
29016,0.7790013568,0.6265035875,0.6012058927,tt
24,0.9231269651,0.5726057779,0.4285714286,tt
12754,0.8939553007,0.5748055953,0.6244308446,tt
50246,0.6625307123,0.8087305997,0.654,tt
15664,0.7858646562,0.6451866824,0.5930637589,tt
17864,0.8660254038,6.542258754,0.595462,tt
20177,0.6997945888,0.5524920937,0.5955430933,tt
16339,0.8852004906,0.5628766477,0.5562212766,tt
15782,0.7851373719,0.6385621437,0.5975314251,tt
23807,0.7859460301,0.5738845086,0.4919208199,tt
21940,0.8033903357,0.342500477,0.5684674181,tt
25110,0.8079254478,0.5756350363,0.5228635682,tt
18009,0.8754236,0.57896,0.5698,tt
16767,0.8840237587,0.5681766949,0.478701536,tt
792,0.5499006157,0.9390909495,0.7542857143,tt